id_votacao;id_proposicao;uri_proposicao;titulo_proposicao;ementa_proposicao;sigla_tipo_proposicao;numero_proposicao;ano_proposicao
2557414-38;2600192;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600192;ERD 1 => MPV 1313/2025;"Altera a Lei nº 14.237, de 19 de novembro de 2021, para modificar a denominação do Auxílio Gás dos Brasileiros para Auxílio Gás do Povo, criar modalidades de operacionalização do auxílio e instituir o Programa de Acesso ao Cozimento Limpo; e altera as Leis nº 8.176, de 8 de fevereiro de 1991, nº 9.478, de 6 de agosto de 1997, nº 13.203, de 8 de dezembro de 2015, nº 14.601, de 19 de junho de 2023, e Lei nº 14.871, de 28 de maio de 2024.";ERD;1;
2557414-38;2600217;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600217;DTQ 1 => MPV 1313/2025;Destaque para Votação em Separado - MPV 1313/2025;DTQ;1;
2557414-38;2600219;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600219;RPD 1 => MPV 1313/2025;Votação Nominal do Destaque para Votação em Separado - MPV 1313/2025-Destaque para Votação em Separado - MPV 1313/2025;RPD;1;
2557414-38;2600230;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600230;RPD 2 => MPV 1313/2025;Requerimento de Retirada de Matéria da Pauta - MPV 1313/2025;RPD;2;
2557414-38;2600231;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600231;RPD 3 => MPV 1313/2025;Votação Nominal do Requerimento de Retirada de Pauta - MPV 1313/2025-Requerimento de Retirada de Matéria da Pauta - MPV 1313/2025;RPD;3;
2557414-38;2600232;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600232;RPD 4 => MPV 1313/2025;Requerimento de Votação Nominal - MPV 1313/2025;RPD;4;
2557414-38;2600243;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600243;DTQ 2 => MPV 1313/2025;Destaque para Votação em Separado - MPV 1313/2025;DTQ;2;
2557414-38;2600244;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600244;RPD 5 => MPV 1313/2025;Votação Nominal do Destaque para Votação em Separado - MPV 1313/2025-Destaque para Votação em Separado - MPV 1313/2025;RPD;5;
2557414-38;2600245;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600245;DTQ 3 => MPV 1313/2025;Destaque para Votação em Separado - MPV 1313/2025;DTQ;3;
2557414-38;2600246;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600246;RPD 6 => MPV 1313/2025;Votação Nominal do Destaque para Votação em Separado - MPV 1313/2025-Destaque para Votação em Separado - MPV 1313/2025;RPD;6;
2557414-38;2600252;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600252;DTQ 4 => MPV 1313/2025;Destaque para Votação em Separado - MPV 1313/2025;DTQ;4;
2557414-38;2600253;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600253;RPD 7 => MPV 1313/2025;Votação Nominal do Destaque para Votação em Separado - MPV 1313/2025-Destaque para Votação em Separado - MPV 1313/2025;RPD;7;
2557414-38;2600264;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600264;RPD 8 => MPV 1313/2025;Requerimento de Adiamento da Discussão Matéria Urgente - MPV 1313/2025;RPD;8;
2557414-38;2600265;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600265;RPD 9 => MPV 1313/2025;Votação Nominal do Requerimento de Adiamento da Discussão Matéria Urgente - MPV 1313/2025-Requerimento de Adiamento da Discussão Matéria Urgente - MPV 1313/2025;RPD;9;
2557414-38;2600266;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600266;RPD 10 => MPV 1313/2025;Requerimento de Adiamento da Votação Matéria Urgente - MPV 1313/2025;RPD;10;
2557414-38;2600267;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600267;RPD 11 => MPV 1313/2025;Votação Nominal do Requerimento de Adiamento da Votação Matéria Urgente - MPV 1313/2025-Requerimento de Adiamento da Votação Matéria Urgente - MPV 1313/2025;RPD;11;
2557414-38;2600268;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600268;RPD 12 => MPV 1313/2025;Requerimento de Retirada de Matéria da Pauta - MPV 1313/2025;RPD;12;
2557414-38;2600269;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600269;RPD 13 => MPV 1313/2025;Votação Nominal do Requerimento de Retirada de Pauta - MPV 1313/2025-Requerimento de Retirada de Matéria da Pauta - MPV 1313/2025;RPD;13;
2557414-38;2600270;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600270;RPD 14 => MPV 1313/2025;Requerimento de Votação Nominal - MPV 1313/2025;RPD;14;
2557414-38;2600274;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600274;RPD 15 => MPV 1313/2025;Requerimento Procedimental Genérico - MPV 1313/2025;RPD;15;
2557414-38;2600289;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600289;RPD 16 => MPV 1313/2025;Requerimento Procedimental Genérico - MPV 1313/2025;RPD;16;
2557414-38;2601418;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2601418;RDF 1 => MPV 1313/2025;Redação Final ao MPV 1313/2025;RDF;1;
2557414-41;2600192;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600192;ERD 1 => MPV 1313/2025;"Altera a Lei nº 14.237, de 19 de novembro de 2021, para modificar a denominação do Auxílio Gás dos Brasileiros para Auxílio Gás do Povo, criar modalidades de operacionalização do auxílio e instituir o Programa de Acesso ao Cozimento Limpo; e altera as Leis nº 8.176, de 8 de fevereiro de 1991, nº 9.478, de 6 de agosto de 1997, nº 13.203, de 8 de dezembro de 2015, nº 14.601, de 19 de junho de 2023, e Lei nº 14.871, de 28 de maio de 2024.";ERD;1;
2557414-41;2600217;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600217;DTQ 1 => MPV 1313/2025;Destaque para Votação em Separado - MPV 1313/2025;DTQ;1;
2557414-41;2600219;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600219;RPD 1 => MPV 1313/2025;Votação Nominal do Destaque para Votação em Separado - MPV 1313/2025-Destaque para Votação em Separado - MPV 1313/2025;RPD;1;
2557414-41;2600230;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600230;RPD 2 => MPV 1313/2025;Requerimento de Retirada de Matéria da Pauta - MPV 1313/2025;RPD;2;
2557414-41;2600231;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600231;RPD 3 => MPV 1313/2025;Votação Nominal do Requerimento de Retirada de Pauta - MPV 1313/2025-Requerimento de Retirada de Matéria da Pauta - MPV 1313/2025;RPD;3;
2557414-41;2600232;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600232;RPD 4 => MPV 1313/2025;Requerimento de Votação Nominal - MPV 1313/2025;RPD;4;
2557414-41;2600243;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600243;DTQ 2 => MPV 1313/2025;Destaque para Votação em Separado - MPV 1313/2025;DTQ;2;
2557414-41;2600244;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600244;RPD 5 => MPV 1313/2025;Votação Nominal do Destaque para Votação em Separado - MPV 1313/2025-Destaque para Votação em Separado - MPV 1313/2025;RPD;5;
2557414-41;2600245;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600245;DTQ 3 => MPV 1313/2025;Destaque para Votação em Separado - MPV 1313/2025;DTQ;3;
2557414-41;2600246;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600246;RPD 6 => MPV 1313/2025;Votação Nominal do Destaque para Votação em Separado - MPV 1313/2025-Destaque para Votação em Separado - MPV 1313/2025;RPD;6;
2557414-41;2600252;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600252;DTQ 4 => MPV 1313/2025;Destaque para Votação em Separado - MPV 1313/2025;DTQ;4;
2557414-41;2600253;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600253;RPD 7 => MPV 1313/2025;Votação Nominal do Destaque para Votação em Separado - MPV 1313/2025-Destaque para Votação em Separado - MPV 1313/2025;RPD;7;
2557414-41;2600264;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600264;RPD 8 => MPV 1313/2025;Requerimento de Adiamento da Discussão Matéria Urgente - MPV 1313/2025;RPD;8;
2557414-41;2600265;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600265;RPD 9 => MPV 1313/2025;Votação Nominal do Requerimento de Adiamento da Discussão Matéria Urgente - MPV 1313/2025-Requerimento de Adiamento da Discussão Matéria Urgente - MPV 1313/2025;RPD;9;
2557414-41;2600266;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600266;RPD 10 => MPV 1313/2025;Requerimento de Adiamento da Votação Matéria Urgente - MPV 1313/2025;RPD;10;
2557414-41;2600267;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600267;RPD 11 => MPV 1313/2025;Votação Nominal do Requerimento de Adiamento da Votação Matéria Urgente - MPV 1313/2025-Requerimento de Adiamento da Votação Matéria Urgente - MPV 1313/2025;RPD;11;
2557414-41;2600268;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600268;RPD 12 => MPV 1313/2025;Requerimento de Retirada de Matéria da Pauta - MPV 1313/2025;RPD;12;
2557414-41;2600269;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600269;RPD 13 => MPV 1313/2025;Votação Nominal do Requerimento de Retirada de Pauta - MPV 1313/2025-Requerimento de Retirada de Matéria da Pauta - MPV 1313/2025;RPD;13;
2557414-41;2600270;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600270;RPD 14 => MPV 1313/2025;Requerimento de Votação Nominal - MPV 1313/2025;RPD;14;
2557414-41;2600274;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600274;RPD 15 => MPV 1313/2025;Requerimento Procedimental Genérico - MPV 1313/2025;RPD;15;
2557414-41;2600289;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600289;RPD 16 => MPV 1313/2025;Requerimento Procedimental Genérico - MPV 1313/2025;RPD;16;
2557414-41;2601418;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2601418;RDF 1 => MPV 1313/2025;Redação Final ao MPV 1313/2025;RDF;1;
2557414-44;2600192;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600192;ERD 1 => MPV 1313/2025;"Altera a Lei nº 14.237, de 19 de novembro de 2021, para modificar a denominação do Auxílio Gás dos Brasileiros para Auxílio Gás do Povo, criar modalidades de operacionalização do auxílio e instituir o Programa de Acesso ao Cozimento Limpo; e altera as Leis nº 8.176, de 8 de fevereiro de 1991, nº 9.478, de 6 de agosto de 1997, nº 13.203, de 8 de dezembro de 2015, nº 14.601, de 19 de junho de 2023, e Lei nº 14.871, de 28 de maio de 2024.";ERD;1;
2557414-44;2600217;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600217;DTQ 1 => MPV 1313/2025;Destaque para Votação em Separado - MPV 1313/2025;DTQ;1;
2557414-44;2600219;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600219;RPD 1 => MPV 1313/2025;Votação Nominal do Destaque para Votação em Separado - MPV 1313/2025-Destaque para Votação em Separado - MPV 1313/2025;RPD;1;
2557414-44;2600230;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600230;RPD 2 => MPV 1313/2025;Requerimento de Retirada de Matéria da Pauta - MPV 1313/2025;RPD;2;
2557414-44;2600231;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600231;RPD 3 => MPV 1313/2025;Votação Nominal do Requerimento de Retirada de Pauta - MPV 1313/2025-Requerimento de Retirada de Matéria da Pauta - MPV 1313/2025;RPD;3;
2557414-44;2600232;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600232;RPD 4 => MPV 1313/2025;Requerimento de Votação Nominal - MPV 1313/2025;RPD;4;
2557414-44;2600243;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600243;DTQ 2 => MPV 1313/2025;Destaque para Votação em Separado - MPV 1313/2025;DTQ;2;
2557414-44;2600244;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600244;RPD 5 => MPV 1313/2025;Votação Nominal do Destaque para Votação em Separado - MPV 1313/2025-Destaque para Votação em Separado - MPV 1313/2025;RPD;5;
2557414-44;2600245;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600245;DTQ 3 => MPV 1313/2025;Destaque para Votação em Separado - MPV 1313/2025;DTQ;3;
2557414-44;2600246;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600246;RPD 6 => MPV 1313/2025;Votação Nominal do Destaque para Votação em Separado - MPV 1313/2025-Destaque para Votação em Separado - MPV 1313/2025;RPD;6;
2557414-44;2600252;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600252;DTQ 4 => MPV 1313/2025;Destaque para Votação em Separado - MPV 1313/2025;DTQ;4;
2557414-44;2600253;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600253;RPD 7 => MPV 1313/2025;Votação Nominal do Destaque para Votação em Separado - MPV 1313/2025-Destaque para Votação em Separado - MPV 1313/2025;RPD;7;
2557414-44;2600264;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600264;RPD 8 => MPV 1313/2025;Requerimento de Adiamento da Discussão Matéria Urgente - MPV 1313/2025;RPD;8;
2557414-44;2600265;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600265;RPD 9 => MPV 1313/2025;Votação Nominal do Requerimento de Adiamento da Discussão Matéria Urgente - MPV 1313/2025-Requerimento de Adiamento da Discussão Matéria Urgente - MPV 1313/2025;RPD;9;
2557414-44;2600266;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600266;RPD 10 => MPV 1313/2025;Requerimento de Adiamento da Votação Matéria Urgente - MPV 1313/2025;RPD;10;
2557414-44;2600267;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600267;RPD 11 => MPV 1313/2025;Votação Nominal do Requerimento de Adiamento da Votação Matéria Urgente - MPV 1313/2025-Requerimento de Adiamento da Votação Matéria Urgente - MPV 1313/2025;RPD;11;
2557414-44;2600268;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600268;RPD 12 => MPV 1313/2025;Requerimento de Retirada de Matéria da Pauta - MPV 1313/2025;RPD;12;
2557414-44;2600269;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600269;RPD 13 => MPV 1313/2025;Votação Nominal do Requerimento de Retirada de Pauta - MPV 1313/2025-Requerimento de Retirada de Matéria da Pauta - MPV 1313/2025;RPD;13;
2557414-44;2600270;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600270;RPD 14 => MPV 1313/2025;Requerimento de Votação Nominal - MPV 1313/2025;RPD;14;
2557414-44;2600274;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600274;RPD 15 => MPV 1313/2025;Requerimento Procedimental Genérico - MPV 1313/2025;RPD;15;
2557414-44;2600289;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600289;RPD 16 => MPV 1313/2025;Requerimento Procedimental Genérico - MPV 1313/2025;RPD;16;
2557414-44;2601418;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2601418;RDF 1 => MPV 1313/2025;Redação Final ao MPV 1313/2025;RDF;1;
2557414-46;2600192;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600192;ERD 1 => MPV 1313/2025;"Altera a Lei nº 14.237, de 19 de novembro de 2021, para modificar a denominação do Auxílio Gás dos Brasileiros para Auxílio Gás do Povo, criar modalidades de operacionalização do auxílio e instituir o Programa de Acesso ao Cozimento Limpo; e altera as Leis nº 8.176, de 8 de fevereiro de 1991, nº 9.478, de 6 de agosto de 1997, nº 13.203, de 8 de dezembro de 2015, nº 14.601, de 19 de junho de 2023, e Lei nº 14.871, de 28 de maio de 2024.";ERD;1;
2557414-46;2600217;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600217;DTQ 1 => MPV 1313/2025;Destaque para Votação em Separado - MPV 1313/2025;DTQ;1;
2557414-46;2600219;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600219;RPD 1 => MPV 1313/2025;Votação Nominal do Destaque para Votação em Separado - MPV 1313/2025-Destaque para Votação em Separado - MPV 1313/2025;RPD;1;
2557414-46;2600230;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600230;RPD 2 => MPV 1313/2025;Requerimento de Retirada de Matéria da Pauta - MPV 1313/2025;RPD;2;
2557414-46;2600231;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600231;RPD 3 => MPV 1313/2025;Votação Nominal do Requerimento de Retirada de Pauta - MPV 1313/2025-Requerimento de Retirada de Matéria da Pauta - MPV 1313/2025;RPD;3;
2557414-46;2600232;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600232;RPD 4 => MPV 1313/2025;Requerimento de Votação Nominal - MPV 1313/2025;RPD;4;
2557414-46;2600243;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600243;DTQ 2 => MPV 1313/2025;Destaque para Votação em Separado - MPV 1313/2025;DTQ;2;
2557414-46;2600244;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600244;RPD 5 => MPV 1313/2025;Votação Nominal do Destaque para Votação em Separado - MPV 1313/2025-Destaque para Votação em Separado - MPV 1313/2025;RPD;5;
2557414-46;2600245;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600245;DTQ 3 => MPV 1313/2025;Destaque para Votação em Separado - MPV 1313/2025;DTQ;3;
2557414-46;2600246;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600246;RPD 6 => MPV 1313/2025;Votação Nominal do Destaque para Votação em Separado - MPV 1313/2025-Destaque para Votação em Separado - MPV 1313/2025;RPD;6;
2557414-46;2600252;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600252;DTQ 4 => MPV 1313/2025;Destaque para Votação em Separado - MPV 1313/2025;DTQ;4;
2557414-46;2600253;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600253;RPD 7 => MPV 1313/2025;Votação Nominal do Destaque para Votação em Separado - MPV 1313/2025-Destaque para Votação em Separado - MPV 1313/2025;RPD;7;
2557414-46;2600264;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600264;RPD 8 => MPV 1313/2025;Requerimento de Adiamento da Discussão Matéria Urgente - MPV 1313/2025;RPD;8;
2557414-46;2600265;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600265;RPD 9 => MPV 1313/2025;Votação Nominal do Requerimento de Adiamento da Discussão Matéria Urgente - MPV 1313/2025-Requerimento de Adiamento da Discussão Matéria Urgente - MPV 1313/2025;RPD;9;
2557414-46;2600266;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600266;RPD 10 => MPV 1313/2025;Requerimento de Adiamento da Votação Matéria Urgente - MPV 1313/2025;RPD;10;
2557414-46;2600267;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600267;RPD 11 => MPV 1313/2025;Votação Nominal do Requerimento de Adiamento da Votação Matéria Urgente - MPV 1313/2025-Requerimento de Adiamento da Votação Matéria Urgente - MPV 1313/2025;RPD;11;
2557414-46;2600268;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600268;RPD 12 => MPV 1313/2025;Requerimento de Retirada de Matéria da Pauta - MPV 1313/2025;RPD;12;
2557414-46;2600269;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600269;RPD 13 => MPV 1313/2025;Votação Nominal do Requerimento de Retirada de Pauta - MPV 1313/2025-Requerimento de Retirada de Matéria da Pauta - MPV 1313/2025;RPD;13;
2557414-46;2600270;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600270;RPD 14 => MPV 1313/2025;Requerimento de Votação Nominal - MPV 1313/2025;RPD;14;
2557414-46;2600274;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600274;RPD 15 => MPV 1313/2025;Requerimento Procedimental Genérico - MPV 1313/2025;RPD;15;
2557414-46;2600289;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600289;RPD 16 => MPV 1313/2025;Requerimento Procedimental Genérico - MPV 1313/2025;RPD;16;
2557414-46;2601418;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2601418;RDF 1 => MPV 1313/2025;Redação Final ao MPV 1313/2025;RDF;1;
2557414-48;2600192;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2600192;ERD 1 => MPV 1313/2025;"Altera a Lei nº 14.237, de 19 de novembro de 2021, para modificar a denominação do Auxílio Gás dos Brasileiros para Auxílio Gás do Povo, criar modalidades de operacionalização do auxílio e instituir o Programa de Acesso ao Cozimento Limpo; e altera as Leis nº 8.176, de 8 de fevereiro de 1991, nº 9.478, de 6 de agosto de 1997, nº 13.203, de 8 de dezembro de 2015, nº 14.601, de 19 de junho de 2023, e Lei nº 14.871, de 28 de maio de 2024.";ERD;1;
